nom,prenom,titre,etude,adresse,npa,ville,date_inscription,canton
Breitenmoser,Marc Gian,lic. iur.,Fryberg Augustin Breitenmoser Partner,Quaderstrasse 8,7000,Chur,20.01.2006,GR
Brivio,Nicola Matteo Amilcare,lic. iur.,Lüthi & Bondolfi Via,Retica 26,7503,Samedan,24.06.2005,GR
Brüesch,Andrea,Dr. iur.,Advokatur Dr. iur. Andrea Brüesch,Werkstrasse 2,7000,Chur,13.01.1984,GR
Brülisauer,Flavia,MLaw,Kanzlei Kornplatz AG,Kornplatz 2,7001,Chur,03.07.2015,GR
Brunner,Josef,lic. iur.,Advokaturbüro Josef Brunner,Poststrasse 3,7130,Ilanz,14.07.1975,GR
Brunner,Andrea Martin,MLaw,Caviezel Partner AG,Masanserstrasse 136,7000,Chur,10.01.2023,GR
Brunner,Seres Sabrina,MLaw,DRSP Advokatur & Notariat,Hartbertstrasse 11,7001,Chur,15.01.2016,GR
Buchli,Jörimann Flavia,lic. iur.,Buchli Just Advokatur und Notariat,Masanserstrasse 35,7001,Chur,15.06.2007,GR
Bühler,Gian Reto,lic. iur.,Areum Rechtsanwälte AG,Sennhofstrasse 19,7001,Chur,05.07.2013,GR
Bundi,Marco,Dr. iur.,Meisser & Partners AG,Schulstrasse 1,7302,Landquart,18.06.2004,GR
Bürer,Hans-Ulrich,lic. iur.,Advokatur und Notariat Bürer Hinterm,Bach 6,7001,Chur,15.06.1989,GR
Burtscher,Benno,lic. iur.,Advokaturbüro Benno Burtscher Hinterm,Bach 6,7001,Chur,03.08.1990,GR
Cahannes,Barla,lic. iur.,Advokatur-Notariat Cahannes,Quaderstrasse 22,7000,Chur,08.01.1998,GR
Cahannes,Romano,lic. iur.,Advokatur-Notariat Cahannes,Quaderstrasse 22,7000,Chur,22.06.2001,GR
Cahenzli,Remo,lic. iur.,Advokaturbüro Remo Cahenzli,Städtlistrasse 12,7130,Ilanz,15.01.1999,GR
Caluori,Corina,Dr. iur.,Caviezel Partner AG,Masanserstrasse 136,7000,Chur,03.07.2015,GR
Camenisch,Irmgard,lic. iur.,Advokaturbüro Irmgard Camenisch,Quaderstrasse 5,7001,Chur,15.06.1989,GR
Cantieni,Andrea,Dr. iur.,HSG Caviezel Thöny Cantieni Scarpatetti,Bahnhofstrasse 8,7000,Chur,19.06.1991,GR
Casanova,Thomas,lic. iur.,Kanzlei Kornplatz AG,Kornplatz 2,7001,Chur,13.06.1985,GR
Casanova,Angela,MLaw,Caviezel Partner AG,Masanserstrasse 136,7000,Chur,26.06.2025,GR
Castelberg,Thomas Alfred,Dr. iur.,Vincenz & Partner,Masanserstrasse 40,7000,Chur,23.06.2000,GR
Castelli,Michel,lic. iur.,Advokaturbüro Castelli Via,Stredas 3,7500,St. Moritz,03.07.2002,GR
Cathomen,Peder,lic. iur.,Advokaturbüro Peder Cathomen Veia,Vedem 3,7458,Mon,18.12.1992,GR
Caviezel,Wilfried,lic. iur.,Advocatur am Nicolai,Kornplatz 2,7001,Chur,18.06.1992,GR
Caviezel,Gieri,Dr. iur.,Caviezel Partner AG,Masanserstrasse 136,7000,Chur,12.01.1989,GR
Caviezel,Karin,lic. iur.,SwissLegal Lardi & Partner AG,Reichsgasse 65,7000,Chur,17.08.1987,GR
Cavigelli,Mario,Dr. iur.,Cavigelli Beratung Via,Concordia 1,7013,Domat/Ems,14.06.1995,GR
Christoffel,Hansjürg,lic. iur.,Schmid Christoffel Rechtsanwälte AG Obere,Strasse 19,7270,Davos Platz,07.11.2006,GR
Colombo,Chiara Valentina,MLaw,Visinoni & Metzger Via dal,Bagn 3,7500,St. Moritz,14.01.2026,GR
Conrad,Luca Curdin,MLaw,Lardelli Conrad Advokatur Notariat,Hartbertstrasse 1,7001,Chur,08.07.2016,GR
Conrad,Peter Curdin,Dr. iur.,Lardelli Conrad Advokatur Notariat,Hartbertstrasse 1,7001,Chur,22.01.1973,GR
Crameri,Reto Luzius Cordin,Dr. iur.,Kunz Schmid Rechtsanwälte und Notare AG,Gäuggelistrasse 1,7001,Chur,08.07.2016,GR
Däppen,Robert Kenneth,Dr. iur.,Däppen Rechtsanwälte,Bahnhofstrasse 8,7000,Chur,22.04.1995,GR
Däppen-Müller,Silvia,Dr. iur.,Däppen Rechtsanwälte,Bahnhofstrasse 8,7000,Chur,23.06.2000,GR
Davatz,Mathias Kaspar,MLaw,Mengiardi Fey & Partner,Ottostrasse 4,7001,Chur,23.01.2020,GR
De,Vecchi Raffaele Bernardo Paolo,lic. iur.,Nievergelt & Stoehr AG Via,Maistra 5,7500,St. Moritz,17.06.2015,GR
Decurtins,Flavio Tobia,MLaw,Caviezel Partner AG,Masanserstrasse 136,7000,Chur,03.07.2015,GR
Diener,Peter,Dr. iur.,Advokaturbüro Peter Diener Untere,Gasse 49,7012,Felsberg,28.01.1974,GR
Dietrich,Patrick,MLaw,Advokatur Cahannes,Quaderstrasse 22,7001,Chur,19.07.2017,GR
Dolf,Remo,Dr. iur.,Kunz Schmid Rechtsanwälte und Notare AG,Gäuggelistrasse 1,7001,Chur,20.01.2017,GR
Domenig,Jürg,Dr. iur.,Advokatur Domenig Hinterm,Bach 40,7001,Chur,16.06.1988,GR
Domenig,Pascal Michel,Dr. iur.,HSG Domenig Legal GmbH,Quaderstrasse 8,7000,Chur,29.11.2010,GR
Donatsch,Sereina Annina,MLaw,Kunz Schmid Rechtsanwälte und Notare AG,Gäuggelistrasse 1,7001,Chur,26.06.2025,GR
Druey,Just Eva,Dr. iur.,Vincenz & Partner,Masanserstrasse 40,7000,Chur,16.06.2006,GR
Duff,Mirco,MLaw,Kanzlei Kornplatz AG,Kornplatz 2,7001,Chur,07.07.2017,GR
Duff,Sascha Marcel,lic. iur.,Kanzlei Kornplatz AG,Kornplatz 2,7001,Chur,06.07.2012,GR
Dupont,Alain,lic. iur.,LL.M. Dupont Revesz Partner,Blumenweg 10,7205,Zizers,28.05.2004,GR
Eggimann,Kevin,MLaw,Visinoni & Metzger Via dal,Bagn 3,7500,St. Moritz,21.01.2022,GR
Egli,Alexander Stefan,MLaw,Buchli Just Advokatur und Notariat,Masanserstrasse 35,7001,Chur,04.06.2015,GR
Elmer-Sonder,Seraina,MLaw,Lardelli Conrad Advokatur Notariat,Hartbertstrasse 1,7001,Chur,17.01.2014,GR
Engi,Andrea,lic. iur.,Advokaturbüro Andrea Engi,Zedernweg 1,7000,Chur,26.01.1976,GR
Ettisberger,Marco Rudolf,Dr. iur.,Ettisberger & Partner,Kornplatz 2,7000,Chur,09.12.1980,GR
Eugster,Hans Peter,lic. iur.,Eugster Advokatur,Montalinstrasse 13D,7203,Trimmis,10.01.1989,GR
Felix,Gaudenz Jeannine,lic. iur.,Advokatur JFG Via,Maistra 191,7504,Pontresina,22.01.2010,GR
Fey,Christian Marc-Andrea,MLaw,Mengiardi Fey & Partner,Ottostrasse 4,7001,Chur,12.04.2013,GR
Fiordalisi-Hunger,Europa Katharina,MLaw,Buchli Just Advokatur und Notariat,Masanserstrasse 35,7001,Chur,05.07.2019,GR
Fleischhauer,Michael,lic. iur.,Advokatur Michael Fleischhauer,Carausch 7,7203,Trimmis,12.07.1976,GR
