nom_complet,titre_academique,ville,canton
Senn Jakob,lic.iur.,Zug,ZG
Severin Adrian,MLaw,Zug,ZG
Sherifoska Raima,MLaw,Rotkreuz,ZG
Sidler Max,Dr.iur.,Zug,ZG
Snaidero Kriesi Liliana,lic.iur.,Zug,ZG
Speck Beat D.,"Dr.iur., LL.M.",Zug,ZG
Spillmann Ueli,MLaw,Baar,ZG
Stacher Lea,MLaw,Zug,ZG
Stadlin Franziska,lic.iur.,Zug,ZG
Stalder Markus,lic.iur.,Cham,ZG
Stalder Michael,lic.iur.,Zug,ZG
Stamm Philipp,lic.iur.,Zug,ZG
Steiner Karim,MLaw,Baar,ZG
Steinmann Reto,lic.iur.,Zug,ZG
Stöckli Armin,lic.iur.,Baar,ZG
Stöckli Barbara,lic.iur.,Zug,ZG
Stoltz Thomas,"lic.iur., LL.M.",Zug,ZG
Storchenegger Patrick,lic.iur.,Zug,ZG
Straub Christoph,Dr.iur.,Zug,ZG
Stubenvoll Corinna,,Zug,ZG
Studer Peter M.,"lic.iur., LL.M.",Zug,ZG
Stutz Vital G.,lic.iur.,Zug,ZG
Surer Lara,MLaw,Baar,ZG
Sutter Urs,Dr.iur.,Zug,ZG
Taisch Franco,Prof. Dr.iur.,Zug,ZG
Taxer Sabine,MLaw,Zug,ZG
Tela Sebastiano,MLaw,Baar,ZG
Thalmann Fridolin,MLaw,Cham,ZG
Thalmann Paul,"Dr.iur., LL.M.",Zug,ZG
Thoma Beat H.,lic.iur.,Zug,ZG
Tobler Sandro G.,"lic.iur., LL.M.",Zug,ZG
Tremp Michael,lic.iur.,Baar,ZG
Trepte Natalie,lic.iur.,Zug,ZG
Truttmann Nadine,MLaw,Zug,ZG
Ueltschi Rahel,"MLaw, LL.M.",Cham,ZG
Ulrich Franz-​Xaver,M.A. HSG,Cham,ZG
Ulrich Thomas,lic.iur.,Baar,ZG
Utiger Jonas,MLaw,Zug,ZG
Uttinger Laurence,lic.iur.,Zug,ZG
van der Lely Jill,MLaw,Zug,ZG
Villiger Daniel,MLaw,Zug,ZG
Vischer H.L. Bernhard,Dr.iur.,Zug,ZG
Völker Mathias,"Dr.iur., LL.M.",Zug,ZG
Vogel Alexander,"Dr.iur., LL.M.",Baar,ZG
Vogel Bernhard,Dr.iur.,Baar,ZG
Vogel Hans A.,Dr.iur.,Zug,ZG
Vogt Peter,lic.iur.,Baar,ZG
Vokinger Gioia,MLaw,Zug,ZG
von Flüe Bolliger Daniela,lic.iur.,Zug,ZG
Wadsack Lukas,M.A. HSG,Zug,ZG
Waibel Alessa,"MLaw, LL.M.",Zug,ZG
Walder Jean-​Pierre,lic.iur.,Baar,ZG
Walter Regula,lic.iur.,Baar,ZG
Wartmann Martin,"lic.iur., LL.M.",Steinhausen,ZG
Weber Marcello,"lic.iur., LL.M.",Zug,ZG
Weidmann Raffael J.,lic.iur.,Zug,ZG
Weiss Marco,Dr.iur.,Steinhausen,ZG
Weiss Sabrina,Dr.iur.,Zug,ZG
Weissmann Melissa V.,MLaw,Zug,ZG
Weltert Hans,Dr.iur.,Cham,ZG
Wettenschwiler Suzanne,Dr.iur.,Zug,ZG
Wetzel Mathias,MLaw,Zug,ZG
Wild Hans-​Rudolf,lic.iur.,Zug,ZG
Williner Ramona,MLaw,Baar,ZG
Winckler-​Knecht Felix,MLaw,Zug,ZG
Windlin Jost,"lic.iur., LL.M.",Zug,ZG
Wullschleger Cristina,MLaw,Zug,ZG
Wyer Louis Joseph,lic.iur.,Zug,ZG
Wyss Alexander,Dr.iur.,Zug,ZG
Wyss Sarah,MLaw,Zug,ZG
Zanetti Giovanni (Gianni) F.,lic.iur.,Baar,ZG
Zaugg Gregor A.,MLaw,Baar,ZG
Zürcher Wolfgang,"Dr.iur., LL.M.",Zug,ZG
Zwicky Markus,Dr.iur.,Zug,ZG
